# 综合得分: 0.2846
# 重码数: 399
# 重码率: 0.032090%
# 加权键均当量: 0.1030
# 当量变异系数(CV): 1.5268
# 用指分布偏差(L2): 6.4439
#
# 格式: 字根名 [tab] 编码 [tab] 使用次数(频率加权)
#
牛.Y	O	730024
亡.Y	O	724735
金.Y	I	721822
{豕下}.S	D	719203
貝.S	S	717478
缶.S	W	717076
虍.A	R	717058
壬.Y	I	715820
{南心}.Y	O	712690
{步下}.A	F	710879
片.A	K	706911
{五下}.S	J	701833
页.Y	U	686414
欠.Y	E	680741
⺽.A	N	678151
{微框}.A	X	672643
癶.A	G	668860
皮.Y	A	656851
片.S	N	653611
肀.A	T	650411
𡗗.S	K	648525
甫.A	Q	633425
虍.S	L	623102
巾.Y	E	621509
{五下}.Y	O	616543
田.Y	E	616428
鸟.A	Y	616012
辰.A	C	614623
{纟上}.A	K	610749
{步下}.S	K	610589
牙.Y	U	610178
辰.S	C	608562
門.Y	O	583988
鱼.A	H	579797
{奉下}.Y	E	577785
來.A	V	565032
來.S	V	564981
丄.A	L	560052
辛.A	K	555912
臣.A	Q	554657
來.Y	I	544803
ㄗ.A	B	535792
ㄗ.S	N	535792
見.S	N	533720
革.A	D	528961
乃.Y	O	527628
{畏下}.A	T	523472
{囟框}.A	Q	515684
丂.Y	E	508200
皿.Y	O	503327
石.Y	O	502003
骨.A	S	498771
骨.S	W	498771
鱼.S	G	496776
馬.A	C	495800
卜.Y	A	495187
弋.Y	U	494234
户.Y	A	486032
辛.S	K	477311
卌.A	P	476510
巛.A	Y	476229
鸟.S	Q	475905
千.Y	E	474039
川.Y	U	473406
{阜上}.A	L	468324
食.A	B	467299
足.Y	E	467166
{祭上}.A	G	466311
止.Y	E	464464
酉.Y	U	461002
予.Y	U	458778
片.Y	A	452505
爿.A	K	449138
{乐上}.A	S	444460
マ.Y	O	443966
习.Y	I	438451
尤.Y	U	434043
馬.S	R	429573
禺.A	X	429336
{阜上}.S	K	407506
禺.S	G	406315
見.Y	E	403132
兀.Y	O	401229
{冂丶}.A	X	395550
毛.Y	O	391944
曲.A	W	390614
雨.Y	U	382338
革.S	W	381975
彐.Y	E	378814
九.Y	E	377348
麻.Y	O	373409
{母框}.A	F	364898
申.Y	O	360388
食.S	D	356781
巳.Y	O	355784
{專上}.A	B	353782
冊.S	C	349491
{爲下}.A	V	347993
{爲下}.Y	O	347993
{冂丶}.S	N	344222
車.Y	U	338319
臼.Y	U	331382
咼.A	S	327637
厂.Y	A	327141
長.A	V	326741
長.S	C	326741
彑.A	S	323381
廴.Y	I	296268
瓜.A	F	294944
馬.Y	O	283397
瓜.S	W	282373
丑.A	S	281653
丑.S	C	281032
虎.A	R	278033
虎.S	L	270556
ㄗ.Y	E	269317
{卑上}.A	J	267082
鸟.Y	O	266389
爪.Y	A	265373
甫.Y	U	264406
ᅲ.A	J	260158
{曹上}.A	W	258594
{丄丶}.A	L	253661
丰.Y	E	247128
骨.Y	I	246321
長.Y	U	245690
广.Y	I	244937
耳.Y	E	244541
灬.Y	I	243355
頁.S	G	229174
虎.Y	A	221072
甲.A	X	211276
甲.S	N	211276
丑.Y	U	202921
尚.Y	O	201098
{畏下}.Y	O	193005
貝.Y	I	187215
食.Y	O	186073
丱.A	Y	181014
镸.A	V	177705
镸.S	C	177644
{横日}.A	J	174991
{横日}.S	D	174991
僉.A	T	173350
曲.S	J	172209
末.A	D	171049
末.S	R	171049
瓦.A	P	170991
隶.A	T	170023
鱼.Y	U	168216
僉.Y	A	167297
{向框}.A	Q	166204
甲.Y	E	165882
卯.Y	O	160508
末.Y	O	160264
瓦.S	J	154603
隶.Y	I	153514
豸.A	B	153161
風.A	W	151266
鹿.A	N	151120
禺.Y	U	150972
乌.A	Y	149832
乌.S	J	149832
風.S	W	149702
幺.Y	U	148290
豸.S	K	147612
乌.Y	O	147016
亠.Y	O	137606
臣.Y	E	136776
曲.Y	E	134177
辛.Y	A	131970
{鸟上}.A	Y	131067
頁.Y	U	129521
風.Y	O	128661
辰.Y	U	128617
尸.Y	O	123170
彑.S	N	120952
{專上}.S	C	120581
{襄上}.A	J	117864
{鸟上}.S	Q	114116
彑.Y	E	113507
魚.A	X	112170
丌.A	J	110915
亦.Y	U	108167
{姬右}.A	Q	107885
肀.S	N	106606
鹿.S	V	103799
龸.A	F	98083
鳥.A	X	96206
革.Y	I	95406
魚.S	G	93638
{荒下}.Y	E	90981
竹.Y	U	88722
{亞下}.A	J	84187
巛.S	C	83506
{贏框}.A	L	83347
{贏框}.S	V	79248
髟.A	V	76927
髟.S	S	76927
夕.Y	A	71211
龸.S	D	67344
{鼠下}.A	T	65204
鳥.S	Q	64607
{華中}.A	P	63702
弓.Y	I	63699
{亞下}.Y	O	63250
{龍右}.A	B	63151
瓜.Y	I	62544
瓦.Y	O	57445
䒑.Y	A	56463
飛.A	L	55025
飛.S	W	55025
飛.Y	O	55025
{姬右}.Y	I	53910
匚.Y	O	53583
穴.Y	A	51916
㔾.Y	E	47109
魚.Y	U	45745
曰.A	J	43962
曰.S	G	43962
曰.Y	U	43962
{鼠下}.Y	O	43606
{奐上}.A	H	40204
鹿.Y	I	37886
矢.Y	O	34525
{反彐}.A	T	32287
鳥.Y	O	31725
舟.Y	E	29362
鬥.A	M	28952
鬥.S	K	28952
{囟框}.Y	O	28649
{鳥上}.A	X	28598
戶.Y	U	27992
{鳥上}.S	Q	26479
齒.A	D	25794
齒.S	C	25794
{鹿上}.A	N	25269
咼.Y	A	23608
戊.Y	O	22484
{鹿上}.S	V	22091
{反彐}.S	N	20835
烏.A	X	16445
烏.S	J	16445
烏.Y	O	16444
鬥.Y	E	12761
{雋下}.A	X	12371
{雋下}.S	N	12338
{穀框}.A	K	11959
齒.Y	U	11803
卩.Y	E	11005
{黽中}.A	H	10999
