的	白勹丶
𱉪	艹乂鸟
𱉫	牛八鸟
𱉬	夭{介下}鸟
𱉭	⺈厂㔾鸟
𱉮	夊口鸟
𱉯	羊鸟
𱉰	{兴上}八鸟
𱉱	冖车鸟
𱉲	厶牛鸟
𱉳	乙⺀大鸟
𱉴	木乙{二撇}鸟
𱉵	一米鸟
𱉶	日干鸟
𱉷	彳殳鸟
𱉸	鸟人一朩
𱉹	乂ナ巾鸟
𱉺	爪子鸟
𱉻	爪女鸟
𱉼	{即左}卩鸟
𱉽	己心鸟
𱉾	厶八夊鸟
𱉿	鸟厶八夊
𱊀	土八土鸟
𱊁	大丁口鸟
𱊂	日月鸟
𱊃	禾勹丿鸟
𱊄	鸟臼儿
𱊅	鸟隹
𱊆	⺈口儿鸟
𱊇	勹米鸟
𱊈	臼儿鸟
𱊉	⺍冖子鸟
𱊊	穴工鸟
𱊋	户月鸟
𱊌	尸古鸟
𱊍	又又又鸟
𱊎	巛田鸟
𱊏	一口田鸟
𱊐	匕匕白鸟
𱊑	⺁十目鸟
𱊒	爪干又鸟
𱊓	月丶水鸟
𱊔	{乞上}日夊鸟
𱊕	亠丷冖鸟
𱊖	穴犬鸟
𱊗	予丿木鸟
𱊘	彑{豕下}鸟
𱊙	扌辰鸟
𱊚	十{具上}八鸟
𱊛	隹十鸟
𱊜	鸟鸟鸟
𱊝	广肀口鸟
𱊞	氵木口鸟
𱊟	宀丰口鸟
𱊠	艹人一鸟
𱊡	口隹鸟
𱊢	竹立鸟
𱊣	人丶乙鸟
𱊤	广肀月鸟
𱊥	亠丷冂鸟
𱊦	士冖一鸟
𱊧	厂䒑屮鸟
𱊨	鸟氵匚木
𱊩	尸耂日鸟
𱊪	雨人丶鸟
𱊫	虍口一鸟
𱊬	罒勹虫鸟
𱊭	⺽丂丄鸟
𱊮	{贏框}鸟
𱊯	白方夊鸟
𱊰	立日心鸟
𱊱	习习隹鸟
𱊲	日龷八鸟
𱊳	田田田鸟
𱊴	卄一口鸟
𱊵	{龠上}冊鸟
𱊶	鹵人十
𱊷	鹵宀丁
𱊸	鹵八人乙
𱊹	鹵⺈丨日
𱊺	⺊囗乂土
𱊻	⺊囗乂䒑
𱊼	⺊囗乂又
𱊽	⺊囗乂{衣下}
𱊾	鹿且又
𱊿	鹿厶小又
𱋀	鹿一米辶
𱋁	鹿鹿
𱋂	鹿弓一乂
𱋃	來夊龷日
𱋄	龶夊丂
𱋅	龶夊匕
𱋆	龶夊山
𱋇	龶夊{乞上}乙
𱋈	龶夊广
𱋉	龶夊手
𱋊	龶夊末
𱋋	龶夊土厶
𱋌	龶夊禾
𱋍	龶夊丶王
𱋎	龶夊穴
𱋏	龶夊丷口
𱋐	龶夊曲
𱋑	龶夊夭{介下}
𱋒	龶夊自
𱋓	龶夊夊口
𱋔	龶夊䒑廾
𱋕	龶夊米
𱋖	龶夊甫
𱋗	龶夊爪子
𱋘	龶夊氵丿
𱋙	龶夊日木
𱋚	龶夊夊田
𱋛	龶夊禾子
𱋜	龶夊隹
𱋝	龶夊立口
𱋞	{穀框}龶夊
𱋟	龶夊古月
𱋠	龶夊人刂
𱋡	龶夊米女
𱋢	龶夊丷酉
𱋣	龶夊予木
𱋤	龶夊予夊
𱋥	予丿夊夊
𱋦	龶夊亻田
𱋧	龶夊⺷工
𱋨	龶夊艹丿
𱋩	龶夊千人
𱋪	龶夊亠古
𱋫	龶夊龷八
𱋬	龶夊米㐄
𱋭	龶夊一米
𱋮	龶夊艹豕
𱋯	麻⺧口
𱋰	麻來
𱋱	麻十廾贝
𱋲	龷由八生
𱋳	艹二由{荒下}
𱋴	龷由八十
𱋵	禾人水小
𱋶	黑⺊尸
𱋷	黑戈幺
𱋸	黑夊丰
𱋹	黑⺈田日
𱋺	黑竹土寸
𱋻	土厶⺈彐
𱋼	勹田{黽中}彐
𱋽	⺈{黽中}{反彐}田
𱋾	土八口电
𱋿	土厶口电
𱌀	冂大口电
𱌁	勹口口电
𱌂	口电夊⺀
𱌃	土土口电
𱌄	矢口口电
𱌅	臼儿口电
𱌆	冖日亠电
𱌇	丷巾八电
𱌈	麻口电
𱌉	尸口辛电
𱌊	壴十又长
𱌋	壴十又口
𱌌	壴屮又刂
𱌍	臼{鼠下}夕
𱌎	臼{鼠下}亥
𱌏	臼{鼠下}冖车
𱌐	臼{鼠下}䒑灬
𱌑	自田丌卜
𱌒	自田丌入
𱌓	自田丌斤
𱌔	自田丌生
𱌕	自田丌丷
𱌖	自田丌{衣下}
𱌗	文{介下}火
𱌘	文{介下}皿
𱌙	文{介下}亠{衣下}
𱌚	齒犬
𱌛	齒夊
𱌜	齒八刀
𱌝	齒亻也
𱌞	齒厶小又
𱌟	土土寸齒
𱌠	一米力齒
𱌡	齒立口乙
𱌢	齒宀⺌月
𱌣	齒宀耳乚
𱌤	齒夊丰辶
𱌥	來夊齒
𱌦	豸艮齒
𱌧	齒面日一
𱌨	齒耳幺灬
𱌩	止人ㄩ工
𱌪	止人ㄩ文
𱌫	止人ㄩ八
𱌬	止人ㄩ{乍下}
𱌭	止人ㄩ彐
𱌮	止人ㄩ口
𱌯	止人ㄩ口
𱌰	止人ㄩ兀
𱌱	止人ㄩ丿
𱌲	丷夫止ㄩ
𱌳	止人ㄩ车
𱌴	止人ㄩ米
𱌵	止人ㄩ{兴上}
𱌶	止人ㄩ又
𱌷	止人ㄩ土
𱌸	牛冂刂ㄩ
𱌹	止人ㄩ禺
𱌺	止人ㄩ八
𱌻	止人ㄩ皿
𱌼	止人ㄩ工
𱌽	止人ㄩ皿
𱌾	立月{龍右}人
𱌿	一廾立{龍右}
𱍀	土合立{龍右}
𱍁	尤丿廾
𱍂	尤丿尤丿
𱍃	大⺈电
𱍄	冂二⺈电
𱍅	⺈电勹厶
𱍆	⺈电灬
𱍇	夊⺀⺈电
𱍈	丷巾八电
𱍉	{龠上}冊⺈电
𱍊	{龠上}冊日日
𱍐	示
𱍑	土厶一
𱍒	丁冂大
𱍓	ナ手丿乀
𱍔	下尤丿
𱍕	丅八人人
𱍖	䒑二下
𱍗	一氵丷又
𱍘	壬厶勹{二撇}
𱍙	尚丁
𱍚	不夕夕
𱍛	不合
𱍜	八人口下
𱍝	宀一兀下
𱍞	业冫欠
𱍟	丂一人心
𱍠	口口口下
𱍡	不门亠巾
𱍢	石夕夕丁
𱍣	犭王壬厶
𱍤	不日一龰
𱍥	艹一口一
𱍦	世亠丷方
𱍧	彐工口下
𱍨	卄一口一
𱍩	上雨而
𱍪	一{冂丶}{冂丶}殳
𱍫	丨乙一
𱍬	リユ人
𱍭	リ艮
𱍮	リ亠厶儿
𱍯	リ冂一口
𱍰	リ一业
𱍱	リ冂䒑山
𱍲	リ白巾
𱍳	リ龷日
𱍴	リ⺷女
𱍵	リ䒑彐八
𱍶	リ鹿灬
𱍷	丶丿又
𱍸	{齊右}
𱍹	乃丶
𱍺	{乞上}一丿乚
𱍻	之二
𱍼	人丨乌
𱍽	而之
𱍾	又隹⺈乀
𱍿	口十口乀
𱎀	乙彐
𱎁	不乚
𱎂	九亠八
𱎃	乙氵乃
𱎄	乙⺌彐
𱎅	乙夊口
𱎆	乙⺈用
𱎇	乙非
𱎈	乙木目
𱎉	乙耳阝
𱎊	禾火乙
𱎋	乙丶{即左}阝
𱎌	乙木口辶
𱎍	乙氵爪壬
𱎎	氵艹力乙
𱎏	丷巾八也
𱎐	言日勹乙
𱎑	{于下}口彐殳
𱎒	一冂土二
𱎓	二乂乂夊
𱎔	厶口弋二
𱎕	二土隹
𱎖	一{五下}十{南心}
𱎗	丶{爲下}弋二
𱎘	亠厶卄土
𱎙	{亮上}几⺌兀
𱎚	人{二撇}
𱎛	人土
𱎜	人下
𱎝	亻亡
𱎞	亻ㄗ一
𱎟	亻乙{二撇}
𱎠	二{介下}人
𱎡	亻贝
𱎢	亻⺊了
𱎣	人人人
𱎤	亻几二
𱎥	人斤
𱎦	亻丄丅
𱎧	亻子乚
𱎨	亻人工
𱎩	亻{乞上}一乚
𱎪	亻又{奉下}
𱎫	亻一业
𱎬	亻缶
𱎭	亻女子
𱎮	亻一申一
𱎯	亻口贝
𱎰	亻日土
𱎱	亻亡心
𱎲	人㔾皮
𱎳	亻止月
𱎴	亻冂䒑亡
𱎵	亻日壬
𱎶	亻山七小
𱎷	止匕人人
𱎸	亻{卬左}卩辶
𱎹	亻⺷又
𱎺	亻子皿
𱎻	人一朩予
𱎼	亻革
𱎽	亻白水
𱎾	亻丷夫马
𱎿	亻一业日
𱏀	亻一业心
𱏁	亻艹人厶
𱏂	亻䒑夫{介下}
𱏃	亻丶{即左}月
𱏄	亻冖大口
𱏅	亻士口鸟
𱏆	亻贝贝女
𱏇	亻口木乂
𱏈	亻竹木一
𱏉	人人且刀
𱏊	亻立丿生
𱏋	亻广大电
𱏌	亻卄一虫
𱏍	亻髟几
𱏎	十冖子{介下}
𱏏	里人一朩
𱏐	亻尚贝
𱏑	亻止匕糸
𱏒	亻金欠
𱏓	亻门木丷
𱏔	亻木口贝
𱏕	亻{鳥上}亠{衣下}
𱏖	亻臼田力
𱏗	人丶彐皮
𱏘	亻口木車
𱏙	亻口木糸
𱏚	亻夕㐄心
𱏛	亻口木贝
𱏜	亻丿{黽中}乂
𱏝	亻{卬左}七木
𱏞	亻止{阜上}貝
𱏟	亻口木貝
𱏠	亻业䒑臣
𱏡	亻牛士貝
𱏢	亻人人心
𱏣	亻言糸虫
𱏤	不⺌兀
𱏥	广{卬左}七儿
𱏦	⺌兀立
𱏧	冫{飞右}白儿
𱏨	亦口儿
𱏩	⺌兀亻十
𱏪	其乂ㄩ儿
𱏫	白丬匕几
𱏬	立月口儿
𱏭	日一勹兀
𱏮	⺌兀丶月
𱏯	田夊口儿
𱏰	⺌兀雨田
𱏱	入门
𱏲	入口巴
𱏳	亠八卜
𱏴	䒑龷八
𱏵	冫{飞右}冂八
𱏶	{具上}八古
𱏷	龷八龷八
𱏸	八厶立而
𱏹	冂二丨
𱏺	冂卄一
𱏻	冂厶又
𱏼	戊一口土
𱏽	冖一兀殳
𱏾	冖木木日
𱏿	冫口
𱐀	冫贝
𱐁	冫⺊了
𱐂	冫夕卜
𱐃	冫儿冫{飞右}
𱐄	冫口贝
𱐅	冫貝
𱐆	冫⺧口
𱐇	冫頁
𱐈	冫一大虫
𱐉	冫丷夫手
𱐊	冫立电
𱐋	冫正丂灬
𱐌	冫壴口
𱐍	米ㄩ
𱐎	口冂人ㄩ
𱐏	人干丷ㄩ
𱐐	{雋下}一口刂
𱐑	屮ㄩ尸ㄩ
𱐒	丅一乚刂
𱐓	刀八刀
𱐔	刀丶刀丶
𱐕	刀刀刀
𱐖	刀日一
𱐗	刀{乞上}{乍下}
𱐘	二人人刂
𱐙	立丿刂
𱐚	由丂刂
𱐛	爪女刂
𱐜	车辶刂
𱐝	厂䒑屮刂
𱐞	⺊彐{乍下}刀
𱐟	亠人人刂
𱐠	厶大彡刂
𱐡	⺶工刀
𱐢	{祭上}示刂
𱐣	⺈非一刂
𱐤	艹{華中}十刂
𱐥	來厂乂刂
𱐦	麻石刂
𱐧	僉刂⺊口
𱐨	䒑月刂口
𱐩	{乞上}力
𱐪	门力
𱐫	力石
𱐬	世力
𱐭	世力
𱐮	用力
𱐯	力宀匕
𱐰	力古儿
𱐱	十{具上}力
𱐲	爪彐乙力
𱐳	宀申力
𱐴	力口ナ月
𱐵	十ナ十力
𱐶	力罒木木
𱐷	戊予丿力
𱐸	勹巳亻卜
𱐹	勹{二撇}人厶
𱐺	勹{二撇}土不
𱐻	勹巳丿用
𱐼	勹{二撇}田{畏下}
𱐽	{曹上}日勹丶
𱐾	馬勹{二撇}
𱐿	勹{二撇}爪又
𱑀	勹{二撇}一页
𱑁	勹千黑
𱑂	勹{二撇}一頁
𱑃	勹巳人日
𱑄	匕巛山
𱑅	匕矢人朩
𱑆	匚王冂大
𱑇	匚王⺌兀
𱑈	罒耂日斤
𱑉	匚立早贝
𱑊	匚冫人マ
𱑋	匚氵人口
𱑌	匚艹ナ心
𱑍	匚口口口
𱑎	亦十
𱑏	〢龶八{奉下}
𱑐	豕辶亻十
𱑑	己夊十大
𱑒	{乞上}十犭日
𱑓	古日龷十
𱑔	尸口辛十
𱑕	艹禺十辶
𱑖	⺊冖尸コ
𱑗	口貝卜
𱑘	弋卩
𱑙	卩日勹乚
𱑚	卯丶丶{介下}
𱑛	爿士卯丶
𱑜	厂十又
𱑝	厂西
𱑞	厂卅冖巾
𱑟	厂木日一
𱑠	厂口自
𱑡	厂白小㔾
𱑢	厶乙
𱑣	土厶丷丨
𱑤	土厶止
𱑥	贝土厶
𱑦	土厶电丿
𱑧	厶氵夊口
𱑨	厶土厶矢
𱑩	土厶口欠
𱑪	土厶文寸
𱑫	土厶宀口
𱑬	土厶禾夕
𱑭	土厶彐寸
𱑮	衤甫土厶
𱑯	厶厶厶丶
𱑰	土厶土口
𱑱	又工
𱑲	且又
𱑳	又丶王
𱑴	{阜上}又
𱑵	又彐口
𱑶	又又乃乀
𱑷	人一朩又
𱑸	尚又
𱑹	{卬左}七{卬左}又
𱑺	火火又
𱑻	⺁又口{囟框}
𱑼	リ文ㄩ又
𱑽	自罒又
𱑾	龸氵口又
𱑿	口乜
𱒀	口一勹
𱒁	口十乚
𱒂	口乙{二撇}
𱒃	口小
𱒄	口巳
𱒅	口屮
𱒆	口一大
𱒇	口⺊了
𱒈	口曰
𱒉	口山乙
𱒊	口亻二
𱒋	乂乂口
𱒌	口{卬左}卩
𱒍	乂古
𱒎	口又又
𱒏	匚コ口
𱒐	口戊
𱒑	一冂人口
𱒒	口目
𱒓	口氵丁
𱒔	口厂土丶
𱒕	不口又
𱒖	口木卜
𱒗	口工几丶
𱒘	口王丁
𱒙	口大干
𱒚	口一口乂
𱒛	口口亡
𱒜	口小大
𱒝	口夊力
𱒞	口乂朩
𱒟	口亻{卬左}卩
𱒠	口月力
𱒡	口䒑巾
𱒢	亦口
𱒣	口文力
𱒤	口巛夕
𱒥	口女口
𱒦	口丰寸
𱒧	口扌卩又
𱒨	口匚矢
𱒩	口木彡
𱒪	口大㐄
𱒫	口扌ユ人
𱒬	口扌人⺀
𱒭	一业口乙
𱒮	末厶口
𱒯	口⺊囗コ
𱒰	口艹寸
𱒱	人一朩口
𱒲	口亻囗コ
𱒳	口犭王
𱒴	口亻古
𱒵	口彳殳
𱒶	口门心
𱒷	亠土口匕
𱒸	口门牙
𱒹	口氵乃乀
𱒺	口氵止
𱒻	口弓长
𱒼	口乃田
𱒽	口木不
𱒾	口木灬
𱒿	口木{卬左}七
𱓀	口三皿
𱓁	口艹力八
𱓂	口口口丁
𱓃	甲合
𱓄	口艹几二
𱓅	口千丬匕
𱓆	口白廴
𱓇	口月七ㄩ
𱓈	口爪壬
𱓉	口勹丆日
𱓊	口亻土土
𱓋	口亻龷八
𱓌	口丿夫辶
𱓍	口{卬左}七月
𱓎	乂口䒑口
𱓏	口衤刀
𱓐	口宀⺀大
𱓑	衤刀口
𱓒	口广彐人
𱓓	口忄冖丶
𱓔	口{母框}十贝
𱓕	口女又弓
𱓖	口木亠巾
𱓗	口而寸
𱓘	口石又又
𱓙	口扌土寸
𱓚	口口口马
𱓛	口日业
𱓜	口艹夊⺀
𱓝	口川页
𱓞	口亻言
𱓟	口月丷{奉下}
𱓠	口亻足
𱓡	口白⺊了
𱓢	口月生
𱓣	口䒑大阝
𱓤	口讠丷儿
𱓥	口门䒑大
𱓦	口氵合
𱓧	口䒑夫{介下}
𱓨	口子子子
𱓩	口癶一大
𱓪	口丂龶月
𱓫	口木羊
𱓬	口ナ月辶
𱓭	口木大丂
𱓮	口丰阝巾
𱓯	口木亥
𱓰	口扌九灬
𱓱	古衤刀
𱓲	口艹冖木
𱓳	口罒正
𱓴	口艹龷八
𱓵	口金卩
𱓶	口亻壬心
𱓷	口禾心丿
𱓸	口金丁
𱓹	口亻日木
𱓺	口亻大口
𱓻	口{阜上}一巾
𱓼	口金十
𱓽	口亦心
𱓾	口冫木日
𱓿	口氵十子
𱔀	口广禾刂
𱔁	口忄{乞上}母
𱔂	口亠亻刂
𱔃	口女丷丿
𱔄	口扌人舌
𱔅	口扌大电
𱔆	口口冖口
𱔇	口日甫
𱔈	口口一廾
𱔉	口⺊早辶
𱔊	口〢又貝
𱔋	合山石
𱔌	口竹尤丿
𱔍	口白{卬左}儿
𱔎	口亻田{畏下}
𱔏	口禾彐夕
𱔐	户口夊口
𱔑	口忄厶彡
𱔒	口言殳
𱔓	口宀大口
𱔔	口{母框}十貝
𱔕	口糸田
𱔖	厶口十口
𱔗	口一夕{衣下}
𱔘	口木彑水
𱔙	口未{乞上}母
𱔚	口艹勹米
𱔛	⺌兀⺌口
𱔜	口口口阝
𱔝	口虫合
𱔞	口口{冓上}{衣下}
𱔟	口月丷力
𱔠	口⺈口{豕下}
𱔡	口彳土亍
𱔢	口犭耂日
𱔣	口宀丰刂
𱔤	口穴口丨
𱔥	口丷酉大
𱔦	口氵貝刂
𱔧	口言{乞上}{乍下}
𱔨	口亠臼{衣下}
𱔩	口丷日戈
𱔪	口文隹
𱔫	口穴⺧口
𱔬	口氵〢皿
𱔭	口亦虫
𱔮	口⺷{豕下}
𱔯	口尸子子
𱔰	口乙止{荒下}
𱔱	口ㄩ田{奉下}
𱔲	口糸合
𱔳	壴口八刀
𱔴	口雨人マ
𱔵	口木目心
𱔶	口木了一
𱔷	口豕丶大
𱔸	口扌囗皿
𱔹	口木米女
𱔺	口雨弓{介下}
𱔻	口艹勹夊
𱔼	口足亦
𱔽	口上小目
𱔾	口目千一
𱔿	口⺈用虫
𱕀	口穴日木
𱕁	口氵爪大
𱕂	阝勹缶匕
𱕃	口尸二辶
𱕄	口巛日刂
𱕅	口厂木日
𱕆	口酉⺧口
𱕇	口木⺷水
𱕈	口艹日土
𱕉	口日木{衣下}
𱕊	口口丄辶
𱕋	口竹目廾
𱕌	口竹罒夕
𱕍	口竹其
𱕎	⺁一口女
𱕏	{乞上}母辰口
𱕐	口宀习彡
𱕑	口立日口
𱕒	口言{乞上}母
𱕓	辰口木夊
𱕔	口匚艹心
𱕕	口扌癶殳
𱕖	口木𡗗臼
𱕗	口夫夫車
𱕘	口小隹灬
𱕙	口足宀示
𱕚	口亻僉
𱕛	口氵西早
𱕜	口广十月
𱕝	口木丷日
𱕞	士{眉上}殳口
𱕟	口木龷八
𱕠	口木口正
𱕡	土日一口
𱕢	口禾彐彐
𱕣	口言耂日
𱕤	口阝僉
𱕥	口馬丿戈
𱕦	口革隹
𱕧	口匚矢糸
𱕨	口艹勹手
𱕩	金且力匕
𱕪	口扌罒匕
𱕫	口亠{纟上}瓦
𱕬	口言艹大
𱕭	卄一口夫
𱕮	口木乂手
𱕯	口大电鳥
𱕰	口{贏框}羊
𱕱	口乙耳心
𱕲	口艹糸皿
𱕳	口立口儿
𱕴	工人人口
𱕵	口口日欠
𱕶	口口工里
𱕷	口⺈口儿
𱕸	囗乙乙丶
𱕹	囗勹巳
𱕺	囗虫
𱕻	囗{鬯中}
𱕼	囗䒑大
𱕽	囗冖{衣下}
𱕾	匕匕囗口
𱕿	囗八人口
𱖀	囗{卬左}七日
𱖁	囗爿一夕
𱖂	囗彐水
𱖃	囗龷八巳
𱖄	囗户冊
𱖅	不囗口贝
𱖆	{周框}土
𱖇	土干
𱖈	土兀
𱖉	巛土
𱖊	土小丿
𱖋	亻匕土
𱖌	亻乃土
𱖍	土八厶
𱖎	土夭
𱖏	土人㔾
𱖐	文土
𱖑	土匚コ
𱖒	土一戈
𱖓	王丶土
𱖔	山一王
𱖕	土口八
𱖖	土丨一一
𱖗	夕卜土
𱖘	土夊卜
𱖙	土人山
𱖚	⺈小土
𱖛	土人上
𱖜	土又土
𱖝	土一冂土
𱖞	土ナ丨土
𱖟	土匚王
𱖠	耂匕土
𱖡	土大寸
𱖢	土小丿力
𱖣	リ〢又土
𱖤	土亻壬
𱖥	土⺈巴
𱖦	人人人土
𱖧	土冫口丨
𱖨	土亠{衣下}
𱖩	土力辶
𱖪	大人人土
𱖫	土工人人
𱖬	土一米
𱖭	土工贝
𱖮	土囗木
𱖯	土囗八冂
𱖰	土爪女
𱖱	土乂ナ巾
𱖲	土门日
𱖳	土冖八工
𱖴	土冖且
𱖵	刀口卩土
𱖶	土水土
𱖷	土尸二厶
𱖸	大十廾土
𱖹	土來
𱖺	土囗王丶
𱖻	⺊日八土
𱖼	土贝夊
𱖽	土口丨心
𱖾	土非
𱖿	〢又土下
𱗀	土斤一山
𱗁	亻口{荒下}土
𱗂	土人舌
𱗃	土{卬左}七日
𱗄	手手土
𱗅	土乂ナ月
𱗆	土亻一乂
𱗇	示土土
𱗈	丿干丿土
𱗉	土亠八{衣下}
𱗊	土阝丁口
𱗋	土革
𱗌	土木口刂
𱗍	土不干丷
𱗎	土山幺幺
𱗏	土〢{⺮右}见
𱗐	里八土
𱗑	土日{乞上}{乍下}
𱗒	土虍{反彐}
𱗓	〢又土水
𱗔	土⺈彐心
𱗕	禾火土
𱗖	土丷口心
𱗗	土广羊
𱗘	阝夊㐄土
𱗙	土尸二又
𱗚	土マ用力
𱗛	土大镸
𱗜	土辰口
𱗝	土耳又又
𱗞	土骨
𱗟	土田人マ
𱗠	土虍心
𱗡	土虍文
𱗢	土日⺌兀
𱗣	八厶习土
𱗤	土白大十
𱗥	土{鸟上}亠{衣下}
𱗦	土月⺁{衣下}
𱗧	氵{姬右}土
𱗨	土亦心
𱗩	土艮辶
𱗪	夫見土
𱗫	土雨二乚
𱗬	ナ丨土⺀
𱗭	土业䒑川
𱗮	土虍夊几
𱗯	土人一十
𱗰	土身冖儿
𱗱	土{周框}土彡
𱗲	土竹⺊口
𱗳	{京上}子阝土
𱗴	土不厂土
𱗵	石豕土
𱗶	土夫夫日
𱗷	日日日土
𱗸	土日耳又
𱗹	土門心
𱗺	土止匕糸
𱗻	土黑
𱗼	千龷一廾
𱗽	土隹辶
𱗾	人人土卜
𱗿	土宀日龰
𱘀	土亠厶夊
𱘁	{京上}小尤土
𱘂	女ナ工土
𱘃	土弓{介下}貝
𱘄	艹勹口土
𱘅	土足夊口
𱘆	土⺈用牛
𱘇	土⺁十辶
𱘈	氵宀丰土
𱘉	土广䒑八
𱘊	土米女夊
𱘋	土古儿儿
𱘌	〢又土夫
𱘍	土非亠{衣下}
𱘎	土金艮
𱘏	土宀{母框}貝
𱘐	土立丿隹
𱘑	土宀{祭上}示
𱘒	土尸辛辶
𱘓	土里火火
𱘔	土阝米㐄
𱘕	土龶月乙
𱘖	口{囟框}土又
𱘗	土竹立电
𱘘	土門木丷
𱘙	氵立丿土
𱘚	幺幺一土
𱘛	土言火火
𱘜	艹口口土
𱘝	土氵艹隹
𱘞	土言糸木
𱘟	土雨口人
𱘠	士{眉上}亠十
𱘡	士冖一一
𱘢	士{眉上}宀示
𱘣	夊人丶マ
𱘤	丆月冖夊
𱘥	米ㄩ八夊
𱘦	夕刀
𱘧	人一朩夕
𱘨	宀且夕夕
𱘩	亠亻夕口
𱘪	爪見夕夕
𱘫	リ土土夕
𱘬	厂日月夕
𱘭	大丿乙⺀
𱘮	大方
𱘯	丁口大
𱘰	大小大
𱘱	王廾大
𱘲	大田力
𱘳	亻丨十大
𱘴	夫丷乃乀
𱘵	大文口
𱘶	一大忄白
𱘷	一大亻刂
𱘸	大丶{即左}阝
𱘹	十早大㐄
𱘺	大人人力
𱘻	白匕匚大
𱘼	大一丂女
𱘽	艹土厶大
𱘾	大魚禾
𱘿	糸車糸大
𱙀	大忄木貝
𱙁	女一
𱙂	女儿
𱙃	女巜
𱙄	女丂一
𱙅	女门
𱙆	女乙{飞右}
𱙇	女人匕
𱙈	女{乞上}十
𱙉	亻乃女
𱙊	乙{奉下}女
𱙋	女⺊尸
𱙌	女囗儿
𱙍	女又土
𱙎	一业女
𱙏	女囗女
𱙐	女臼
𱙑	女文{介下}
𱙒	女门子
𱙓	女宀一{于下}
𱙔	女ᅲ丷厂
𱙕	女日土
𱙖	女八人口
𱙗	女门月
𱙘	氵巴女
𱙙	女彐火
𱙚	女臼人
𱙛	女{京上}子
𱙜	尸匕女子
𱙝	女口耳
𱙞	女虍{反彐}
𱙟	女䒑夫{介下}
𱙠	女甫寸
𱙡	女龷丿用
𱙢	女扌爪女
𱙣	女山夊丰
𱙤	女艹人朩
𱙥	女亦心
𱙦	女厶月匕
𱙧	女虍业
𱙨	女艹勹用
𱙩	女{囟框}乂夊
𱙪	女宀大口
𱙫	女宀一八
𱙬	女又十{南心}
𱙭	女厂亻隹
𱙮	女艹爪木
𱙯	女厂艹禺
𱙰	女{亮上}豕
𱙱	女耳幺丱
𱙲	非一二女
𱙳	十彐女甫
𱙴	女艹口欠
𱙵	子山
𱙶	大丶子
𱙷	子贝
𱙸	子冂人
𱙹	子屮ㄩ
𱙺	乃子人匕
𱙻	一米子
𱙼	十人人子
𱙽	子艹冂人
𱙾	耂子口丂
𱙿	子宀豕
𱚀	子雨田
𱚁	子立日心
𱚂	宀子氵日
𱚃	宀下
𱚄	宀子乚
𱚅	宀力口
𱚆	宀不匕
𱚇	宀貝
𱚈	宀ㄩ龶
𱚉	宀日木
𱚊	宀{周框}土口
𱚋	宀{卑上}十
𱚌	宀彑水
𱚍	宀口{囟框}九
𱚎	宀辛刂
𱚏	宀馬
𱚐	宀隹又
𱚑	{乞上}㐄宀且
𱚒	宀十甫寸
𱚓	宀心丿日
𱚔	宀臼{鼠下}
𱚕	宀肀片一
𱚖	宀上小糸
𱚗	宀千黑
𱚘	宀{卬左}七耳
𱚙	宀心丿日
𱚚	宀爿人口
𱚛	习习人见
𱚜	宀竹目廾
𱚝	八刀寸
𱚞	白寸
𱚟	皮寸
𱚠	而寸
𱚡	艹隹寸
𱚢	爪マ冂寸
𱚣	小丿勹丶
𱚤	小屮ㄩ
𱚥	小门{于下}丿
𱚦	小面
𱚧	一勹⺈辶
𱚨	小大宀申
𱚩	氵耂日小
𱚪	小丿禾隹
𱚫	小丿矢隹
𱚬	小大金儿
𱚭	亠丷冖丶
𱚮	牙夊厂彡
𱚯	兀豸白儿
𱚰	尸十
𱚱	尸寸
𱚲	尸下
𱚳	尸小丿
𱚴	尸丑
𱚵	尸丿夫
𱚶	尸力口
𱚷	尸{阜上}
𱚸	尸亠{衣下}
𱚹	尸乀且
𱚺	尸爪女
𱚻	尸彳禾
𱚼	尸木日一
𱚽	尸忄古儿
𱚾	尸屮ㄩ曲
𱚿	尸⺌月甲
𱛀	尸乀⺀乚
𱛁	尸毛尚土
𱛂	尸毛广隶
𱛃	尸羊尸羊
𱛄	七ㄩナ子
𱛅	リ山
𱛆	山了
𱛇	山丂一
𱛈	二厶山
𱛉	山厂㔾
𱛊	山见
𱛋	山冂人
𱛌	山亻乃
𱛍	山人匕
𱛎	山勹{二撇}
𱛏	山长
𱛐	山弓丨
𱛑	山ユ人
𱛒	山子乚
𱛓	山尤丿
𱛔	山土厶
𱛕	山ナ巾
𱛖	山甲
𱛗	山{雋下}一
𱛘	山瓜
𱛙	山{乐上}小
𱛚	山夊力
𱛛	斤一山
𱛜	山ナ丨土
𱛝	山一业
𱛞	山工几丶
𱛟	山厂犬
𱛠	山ナ火
𱛡	山大一丂
𱛢	山口口
𱛣	山小土
𱛤	山囗大
𱛥	山⺧儿
𱛦	山讠{乞上}十
𱛧	山女子
𱛨	山工贝
𱛩	山木口
𱛪	屮ㄩ小丿
𱛫	山貝
𱛬	山日寸
𱛭	山爪寸
𱛮	山⺈用
𱛯	山丷口儿
𱛰	山彐火
𱛱	山土{南心}
𱛲	山王夊
𱛳	山山石
𱛴	山鱼
𱛵	山勹缶
𱛶	山彳丶王
𱛷	山工页
𱛸	山𡗗日
𱛹	山耳阝
𱛺	山木口⺀
